Document_Number,Company_Code,Posting_Date,Value_Date,Currency,Amount,Vendor_Name,Vendor_Account,Vendor_Bank_BIC,Paying_Bank,Paying_Bank_Account,Payment_Method,Payment_Term
7299493850,1000,22-02-2025,21-03-2025,EUR,45778.86,Martin Ltd,GB35BGCA66699901663667,YZLGGBEOR5Z,ICICI Bank,GB30EXNJ80990162420741,RTGS,Z002
9519302288,1000,17-03-2025,19-03-2025,GBP,41934.42,Gonzalez and Sons,GB61QMSG07122892672304,CVCTGBGN2IS,ICICI Bank,GB40KHJZ61868257950772,SWIFT,Z004
9550977851,2000,18-02-2025,20-03-2025,JPY,23644.71,"Rodriguez, Hayes and Rivera",GB84IYZA92097037145059,CWKOGBLM,HDFC Bank,GB41PTZH58800098905404,SWIFT,Z003
6954692259,2000,16-03-2025,26-03-2025,USD,10464.98,"Clark, Wilson and Carter",GB70MJTX80299455564938,ZGXZGBV78X1,Syndicate Bank,GB75LCDX37830912488726,NEFT,Z001
2015617240,3000,17-02-2025,19-03-2025,INR,4433.47,Lang Group,GB18SQOM87866900509813,MJJBGBU0,ICICI Bank,GB26NBME14651540874328,Wire Transfer,Z004
7530835515,3000,14-03-2025,24-03-2025,JPY,36582.67,Robinson-Smith,GB96YLEJ61458834156773,OAZEGBB6,ICICI Bank,GB54JXVZ84381668400806,Wire Transfer,Z002
8349564650,3000,06-03-2025,20-03-2025,EUR,41178.49,Lewis-Richards,GB86OIBB49656848761307,EBUFGB4GL55,ICICI Bank,GB62TXRT01850751018152,RTGS,Z002
6468331073,3000,19-02-2025,19-03-2025,INR,34306.03,"Davidson, Burns and Hall",GB09VJUP00397111478018,MVBFGB0G,HDFC Bank,GB14PZEW09921803294046,ACH,Z004
7545001353,4000,14-03-2025,25-03-2025,EUR,10508.21,Smith Group,GB77DDKA58313444431446,HNJFGB7T3CF,ICICI Bank,GB31BEJU43737596340716,SWIFT,Z002
3133984697,4000,12-03-2025,22-03-2025,JPY,38268.01,Howe PLC,GB07BSQQ05512380423350,XSRLGB22,HDFC Bank,GB40ESDM68757099923092,Wire Transfer,Z004
9664236370,3000,21-02-2025,22-03-2025,INR,30000.39,Gordon-Lopez,GB04KNVQ74854656617244,YGHQGBQ8Q0J,HDFC Bank,GB44XVLC19500311300147,RTGS,Z001
8649717349,3000,18-02-2025,20-03-2025,EUR,39209.36,Miller Inc,GB67MMHI58764040357701,PIOQGBO8,ICICI Bank,GB06CGEO58996011103051,ACH,Z004
4846385785,4000,23-02-2025,20-03-2025,INR,1470.61,Miller and Sons,GB74ZUDH13440031404353,GWCQGBVBE8J,Syndicate Bank,GB89GXCA09539429636261,Wire Transfer,Z003
6388800455,3000,18-03-2025,21-03-2025,USD,19131.49,Gibbs-Walker,GB95WLYN55378477151557,IIRPGB9KB9S,HDFC Bank,GB85RBNZ63614623511406,ACH,Z003
6719487071,1000,05-03-2025,27-03-2025,JPY,18247.84,Smith-Taylor,GB47EIAP43530207332221,YGDQGBEE5GY,HDFC Bank,GB98MSIG89493591479323,Wire Transfer,Z003
9105386876,2000,24-02-2025,25-03-2025,GBP,40310.2,"Grant, Brown and Simmons",GB21WPRZ10482612059324,IJUVGB9K,Syndicate Bank,GB57SDMK32990369937947,NEFT,Z004
1632818010,1000,02-03-2025,22-03-2025,INR,47621.71,Bates Ltd,GB94JMFB74168452918102,BCSFGB0J2ZI,ICICI Bank,GB44ZSVS00310967153377,Wire Transfer,Z004
8611571434,2000,17-02-2025,19-03-2025,USD,43940.77,"Callahan, Baker and Buchanan",GB43SRKZ20530353355337,FNDCGBL6,HDFC Bank,GB76PPWO60892439134940,SWIFT,Z003
2383680519,3000,23-02-2025,19-03-2025,EUR,17647.97,Jensen Group,GB95WWUF26622669495307,USFAGBX9LK2,ICICI Bank,GB47XNII23281540212205,RTGS,Z004
8723688761,2000,13-03-2025,22-03-2025,INR,9420,"Morton, Singh and Taylor",GB22PQBR83651459453967,WQHSGB4N,Syndicate Bank,GB85VNDJ81562280052551,SWIFT,Z001
1729082677,4000,18-03-2025,26-03-2025,JPY,43280.1,"Cole, Williams and Maddox",GB92ZAZU50139371052305,BFLGGBD9YJ4,ICICI Bank,GB73NTFT81429359357192,SWIFT,Z002
3147459846,3000,07-03-2025,26-03-2025,GBP,29397.91,Doyle-Marshall,GB08TXQB43653360886179,IYMAGB94IEO,Syndicate Bank,GB73AUFJ40510635557036,NEFT,Z004
6258777986,3000,12-03-2025,20-03-2025,INR,15884.39,Thompson Group,GB48STOB33297666345602,AGQXGBWT,Syndicate Bank,GB95CVHG71924985484998,SWIFT,Z002
7178558094,2000,21-02-2025,24-03-2025,JPY,39858.21,Weeks-Ramos,GB63IGXB78830978802671,ANZWGBRVYH8,HDFC Bank,GB83ILVO62145556166127,ACH,Z002
2708246053,4000,22-02-2025,24-03-2025,GBP,19140.41,Baker and Sons,GB20SHVW77158252402690,UWYIGB6DN20,ICICI Bank,GB10TRBR20913253554195,ACH,Z003
6874091078,4000,09-03-2025,26-03-2025,JPY,39150.95,Bush-Curry,GB71JHXB94264387287649,UODLGBZH,Syndicate Bank,GB25HSJS34419637378210,SWIFT,Z004
5620115680,1000,11-03-2025,26-03-2025,INR,46301.2,"Torres, Henry and Chambers",GB54BYEN56874677562665,NXMDGBXI370,Syndicate Bank,GB14OKJX81541161278580,Wire Transfer,Z003
1298258991,3000,17-02-2025,26-03-2025,JPY,4707.65,Rodriguez-Evans,GB82RFYB95215091777808,GQYQGBXZG8J,Syndicate Bank,GB75BBUH77466421155818,NEFT,Z004
9991371603,4000,12-03-2025,23-03-2025,JPY,22134.65,Hays PLC,GB49SHYK26607040516294,UOOUGBJUXRI,ICICI Bank,GB49PQYB79734956155853,SWIFT,Z004
6639007067,2000,05-03-2025,22-03-2025,USD,10157.16,Wolfe PLC,GB66PVWH26488843779006,ZPRYGB2R79R,Syndicate Bank,GB70GLVF45765819004435,NEFT,Z001
8166943407,2000,15-03-2025,24-03-2025,INR,8086.67,Diaz Ltd,GB61HHHO28574478898896,RXQBGB30,Syndicate Bank,GB74EZOO51451272060860,ACH,Z002
5249972344,3000,06-03-2025,27-03-2025,GBP,20193.2,Jenkins and Sons,GB75NIKL48893531998206,QWREGB71395,HDFC Bank,GB69RFLA74113032558517,Wire Transfer,Z002
6838870338,1000,02-03-2025,23-03-2025,INR,37947.96,Morrow Ltd,GB87RLWO95233506572063,PZGWGB00CWH,Syndicate Bank,GB65VJGI84938129083853,ACH,Z003
6147923086,4000,13-03-2025,23-03-2025,EUR,28793.32,House-Martinez,GB61DAAZ27790005576309,ZLWIGBCFYPU,ICICI Bank,GB68AOVV03190825275445,NEFT,Z003
7098844883,2000,12-03-2025,20-03-2025,USD,6428.07,Fowler Inc,GB65EJVO38683482555832,UFOVGBTBJCD,ICICI Bank,GB38ZKQP67341416024877,Wire Transfer,Z002
2552357857,2000,07-03-2025,21-03-2025,USD,37672.97,"Cook, Mcmahon and Harris",GB35WVTH66928961714570,NSPJGBST2UY,ICICI Bank,GB18PKIG24463569008104,SWIFT,Z001
5349473545,1000,13-03-2025,23-03-2025,GBP,12193.82,Wilson PLC,GB65DRUI00521177851740,SIONGBPE592,ICICI Bank,GB43AIOQ15282934210123,Wire Transfer,Z002
6865830950,1000,12-03-2025,24-03-2025,INR,5178.62,Bentley and Sons,GB64HFZI03059729885082,TXKEGBSV,HDFC Bank,GB58TZPY73595593555503,SWIFT,Z003
2671587089,1000,09-03-2025,27-03-2025,JPY,23695,"Gardner, Stanley and Hurley",GB57FWFI40815991793417,BUEPGBTU,Syndicate Bank,GB69GGGH38608397156373,NEFT,Z002
6849948501,1000,09-03-2025,24-03-2025,USD,16744.48,"Espinoza, Villa and Gutierrez",GB22PUAF42943688439084,HXZXGB25,ICICI Bank,GB44JGAB26587526301789,SWIFT,Z001
7610566959,4000,27-02-2025,28-03-2025,EUR,3473.04,Rangel-Martinez,GB04PHQD38217918062302,HLSDGBWKMGZ,HDFC Bank,GB72XZNB05429119582218,RTGS,Z004
5593834128,1000,04-03-2025,24-03-2025,USD,47261.73,Garrett-Harris,GB46VPSJ55116337126822,NBEJGB0TXYF,ICICI Bank,GB89HPHV18807838762506,NEFT,Z004
3849002869,1000,05-03-2025,27-03-2025,JPY,14749.36,Young Ltd,GB27SRGW16742939490633,DJQSGB398UO,Syndicate Bank,GB52MLEX04689012662896,ACH,Z002
5494381177,2000,19-02-2025,21-03-2025,USD,20967.52,Holden-Watson,GB44DSRH45202687243269,FBWRGBXIEPS,ICICI Bank,GB62VNAW97501908947416,NEFT,Z001
3555228237,1000,02-03-2025,22-03-2025,USD,41224.51,Johnson-Martinez,GB98KJVJ68252472172535,HCFBGBVM,Syndicate Bank,GB71GRNR71921683529267,ACH,Z003
4124968238,3000,24-02-2025,26-03-2025,JPY,24599.61,Guerra and Sons,GB63CRFT64826634676325,NYRYGBPJKC1,ICICI Bank,GB31EDAI17879430441189,SWIFT,Z004
1203676612,3000,14-03-2025,21-03-2025,EUR,45506.36,Mosley LLC,GB54LXWJ49523478288165,JPSFGB1O,HDFC Bank,GB56SDRU28666706796167,NEFT,Z004
5210124035,1000,15-03-2025,28-03-2025,EUR,37934.82,Horn LLC,GB26CUFH88211083322880,JUNTGBM33S0,Syndicate Bank,GB62CAHY21237499413840,NEFT,Z001
2064223559,3000,11-03-2025,28-03-2025,INR,1351.3,"Conway, Russell and Singh",GB03FDAV91939955821238,RELBGB96,ICICI Bank,GB08QYBZ07976361387199,RTGS,Z004
9124148971,4000,14-03-2025,26-03-2025,EUR,36223.01,"Freeman, Barnes and Keller",GB72WUJO22252723564462,RBHWGB91,ICICI Bank,GB36EHEE26052435886795,SWIFT,Z001
1041924896,4000,27-02-2025,21-03-2025,GBP,34102.33,Taylor-Mccarty,GB71PTKY78500996591960,PFMUGBRY9CV,ICICI Bank,GB66RSAZ97692891064602,ACH,Z003
8390568645,1000,08-03-2025,23-03-2025,USD,10312.15,"Myers, Drake and Hansen",GB07CSBC80110623698063,CJVHGBSIM2P,HDFC Bank,GB03GUVF35867417479587,RTGS,Z003
3687782285,4000,08-03-2025,20-03-2025,EUR,3450.31,Reed-Palmer,GB83JDXH91046092032077,LTSIGB7I,Syndicate Bank,GB09KMKF65386519665147,SWIFT,Z002
2918151164,2000,19-02-2025,22-03-2025,JPY,25344.16,Gates Ltd,GB58EYFB30119956498092,ZYLTGB8KN92,ICICI Bank,GB56TQCN99149535184771,RTGS,Z002
8583647884,3000,07-03-2025,27-03-2025,GBP,28376.35,Davis-Robinson,GB63PUGF53815664469875,AQIIGB7DK52,Syndicate Bank,GB65XFRC80671143633471,Wire Transfer,Z001
7498695559,4000,12-03-2025,27-03-2025,JPY,19838.25,Curry-Smith,GB20NMMG73578398455058,IQMDGBJ9,HDFC Bank,GB73LNIN10747144905276,Wire Transfer,Z004
9671630246,1000,01-03-2025,19-03-2025,GBP,43178.3,Rogers-Wade,GB09DPWU81312762012211,QNXNGBUB8UB,ICICI Bank,GB84NVJU19391853554373,NEFT,Z003
6817873043,2000,11-03-2025,26-03-2025,EUR,34063.89,"Baker, Jackson and Hoover",GB14GQJI65204008968509,NDBSGBOG,ICICI Bank,GB71ANYH77167806649506,ACH,Z001
5989459982,3000,18-03-2025,21-03-2025,USD,45134.16,Bush Ltd,GB48PEMU12064451140375,MHAPGBWO,HDFC Bank,GB85SEHK75344310842186,ACH,Z002
7515614449,1000,13-03-2025,21-03-2025,JPY,17951.61,Barber-Nguyen,GB59NVEJ48729930872241,WGTVGBL17QH,HDFC Bank,GB29SVPX10570518562241,NEFT,Z003
4684297530,2000,06-03-2025,19-03-2025,JPY,35210.69,"Wilson, West and Bright",GB32VUIM19500898208260,ZQQYGBD2,Syndicate Bank,GB65NIIG81644054356348,RTGS,Z001
2523806641,4000,15-03-2025,20-03-2025,JPY,15093.11,"Browning, Rodriguez and Gray",GB81CDWZ02403668443828,WDYBGBDT,HDFC Bank,GB59SQFU59771053739244,NEFT,Z002
6819540826,3000,11-03-2025,26-03-2025,GBP,3007.59,Powers PLC,GB43KLSR93645494961063,OFJNGBUP,HDFC Bank,GB10PNJX49886953761189,RTGS,Z004
7465056062,4000,04-03-2025,25-03-2025,INR,33608.53,Stewart-Washington,GB39JMWC98497870356060,MFMIGB8W3K3,ICICI Bank,GB85HVHZ19740483266529,RTGS,Z003
8376567573,3000,16-03-2025,20-03-2025,INR,7073.4,Hudson-Horn,GB32HZCH39659540073539,YDWEGBP7,Syndicate Bank,GB09ROVG63086622249389,NEFT,Z003
2042136176,1000,22-02-2025,28-03-2025,USD,32279.55,Williamson-Carter,GB83XWIS67381213703596,NQNRGBGC4WH,HDFC Bank,GB04XIQW12165943285921,Wire Transfer,Z001
6802934198,4000,09-03-2025,25-03-2025,EUR,45340.9,"Kennedy, Jordan and Frye",GB46HPSA21537213840541,ODTOGBY78TT,ICICI Bank,GB89XDCX11756391666280,ACH,Z002
8594902584,1000,20-02-2025,24-03-2025,GBP,24491.65,"Ortega, Moore and Mccullough",GB57DEIA16749036919789,SHYDGBYMMEF,HDFC Bank,GB42IRIA55227574379422,RTGS,Z004
9069164087,4000,26-02-2025,26-03-2025,INR,9861.77,Moore-Rodriguez,GB89EKVB91434704959924,ANACGBE1JHE,HDFC Bank,GB45GOUJ57324188547865,RTGS,Z002
7314658188,1000,01-03-2025,23-03-2025,USD,15724.04,Zimmerman and Sons,GB65KPFR50850685568766,IWMSGBNS,Syndicate Bank,GB48BRJG77039560742463,ACH,Z004
5733663161,1000,28-02-2025,23-03-2025,GBP,8575.99,Arnold Ltd,GB18BFEP23886248501675,JLVAGBDK,Syndicate Bank,GB34NTEI80200909753784,ACH,Z003
3577006821,4000,11-03-2025,24-03-2025,EUR,39235.06,Stephens Inc,GB57VNPP59679095830983,GGOQGBPW5NR,HDFC Bank,GB14BFTN43163345952372,NEFT,Z003
9377494398,3000,19-02-2025,22-03-2025,USD,37176.32,Daniels Ltd,GB64PFIZ53101834143792,ZSJHGBC2G8U,HDFC Bank,GB84PRSI81127503353289,NEFT,Z001
4095990527,4000,26-02-2025,23-03-2025,EUR,18414.9,"Anthony, Giles and Russo",GB44DHRR32201060919282,ZKJCGBLF,Syndicate Bank,GB03NWKD49133451576259,RTGS,Z001
7436429017,1000,18-03-2025,27-03-2025,JPY,15843.36,Hull and Sons,GB14KWAG87323536504685,IBUFGBPO,HDFC Bank,GB74INSN30097722434178,NEFT,Z003
1216471773,2000,27-02-2025,26-03-2025,JPY,26871.57,Espinoza-Brown,GB27VYEH02496522126234,GANHGBOV,ICICI Bank,GB28HSCF48216679535861,NEFT,Z004
3001499611,3000,13-03-2025,27-03-2025,JPY,18929.28,Flores and Sons,GB93CAHA17202545322940,JZSUGBLP,Syndicate Bank,GB71VQFA91434183119306,NEFT,Z001
4744865142,1000,21-02-2025,19-03-2025,EUR,38131.55,Norman Ltd,GB28TFOP09102997100167,PMKKGBJA,HDFC Bank,GB38EEOE92644741838129,NEFT,Z001
4854453296,3000,14-03-2025,28-03-2025,EUR,27317.56,"Smith, Acevedo and Carter",GB90OCGE48828259020528,QKZWGBXRQIC,ICICI Bank,GB53LWJT05701743567474,SWIFT,Z002
8343995546,1000,17-03-2025,19-03-2025,GBP,39535.11,Pitts-Kelly,GB96MDEP71502976762537,KADCGB2V,Syndicate Bank,GB31XKCJ61116285091948,RTGS,Z001
6800520902,2000,25-02-2025,22-03-2025,EUR,19136.1,"Ward, Henderson and Romero",GB39OFIO44958861246140,CTWXGB15X9C,ICICI Bank,GB55FETT97287104853219,RTGS,Z002
4950082057,2000,14-03-2025,20-03-2025,GBP,7535.8,Castillo Group,GB06MFVW16656420789339,HIJXGBY2XVX,ICICI Bank,GB42XDGD99483986979959,SWIFT,Z003
6930603098,1000,19-02-2025,25-03-2025,USD,32604.01,Allen Ltd,GB57SBUB74737323232609,GTLDGBLQFUQ,ICICI Bank,GB98TDTH39376957655361,ACH,Z003
3135687995,3000,27-02-2025,27-03-2025,USD,45797.43,Neal-Poole,GB79NYLY80956142513646,QMBEGB4J,ICICI Bank,GB38ZGAA53935628545970,ACH,Z003
3286222268,1000,20-02-2025,24-03-2025,EUR,48773.7,"Bell, Wilson and Leonard",GB05LLDF29924812974461,IRFAGBB7OLV,ICICI Bank,GB43JXFS44189579895097,RTGS,Z001
2359748457,3000,04-03-2025,24-03-2025,USD,9515.7,"Kelly, Johnson and Atkinson",GB30QPRX97262550504890,KNKGGB409F5,HDFC Bank,GB69NRSW86135107349941,NEFT,Z002
5191956738,4000,24-02-2025,26-03-2025,INR,5918.72,"Ball, Christensen and Riggs",GB34YIRP74635371082549,YKCUGBI2QP2,HDFC Bank,GB39IWVO78728867153605,ACH,Z004
4673874823,2000,06-03-2025,26-03-2025,USD,41938.07,Rodriguez-Heath,GB05XPFQ24328916624635,DESYGB92LH2,Syndicate Bank,GB29CVVI11348953498863,SWIFT,Z004
9518831033,4000,18-03-2025,23-03-2025,INR,23601.41,Burns-Clark,GB75DKLM83801534104921,CWHRGB0PPFH,ICICI Bank,GB15KTRT62670593626225,RTGS,Z002
3950895968,1000,19-02-2025,26-03-2025,GBP,20787.22,"Cole, Mathis and Brennan",GB75YFJL39628770503711,LPMEGBPXBWP,HDFC Bank,GB21JLLO76068307759595,SWIFT,Z004
7646049303,3000,06-03-2025,23-03-2025,EUR,24168.31,Hayes Group,GB62FNWO70530501270297,IWBUGBI2,ICICI Bank,GB83HIQA57645998021465,Wire Transfer,Z004
5591475112,4000,01-03-2025,23-03-2025,GBP,3337.37,Gates PLC,GB19ITEK89154195314052,CCAJGBTLAIL,ICICI Bank,GB87HGXM72506446911896,Wire Transfer,Z003
1914357749,3000,19-02-2025,24-03-2025,JPY,15689.77,"Garcia, Hernandez and White",GB04FUHS69950938625259,JJQCGBCDJ63,Syndicate Bank,GB10AGUU63311000540894,Wire Transfer,Z004
9834410279,1000,15-03-2025,22-03-2025,USD,23256.54,Dixon Ltd,GB35IVJC52713603984801,WQRYGB65LND,HDFC Bank,GB68UNCV22032667959739,RTGS,Z003
1418580082,3000,01-03-2025,26-03-2025,EUR,1756.83,Taylor Ltd,GB45CHEH55872618353769,JPUIGBA6,HDFC Bank,GB62OSPD31554221968285,ACH,Z001
3331938810,3000,13-03-2025,23-03-2025,GBP,36919.12,Mcclain-Chandler,GB63CDOR48736817724732,YDPLGBBYQT1,ICICI Bank,GB32GTIO46957905334851,RTGS,Z003
7050144008,2000,22-02-2025,23-03-2025,EUR,25520.39,Rose Inc,GB32OBDW79285882665161,AJVSGBPPQ5H,ICICI Bank,GB20ZJTJ01748727464230,Wire Transfer,Z003
5823058076,2000,03-03-2025,23-03-2025,GBP,37757.42,King Inc,GB17LZUZ40206624495132,OPNQGBAS,Syndicate Bank,GB09EHDU42041591621703,SWIFT,Z002
4221085658,3000,24-02-2025,27-03-2025,INR,39399.23,Bolton and Sons,GB23MABQ43575491796343,HYHPGB2U,HDFC Bank,GB10GHTZ18951373921087,ACH,Z003
6658049001,4000,16-03-2025,20-03-2025,GBP,38505.18,"Gregory, Swanson and Navarro",GB37JLNL32773232371094,BECGGBCYEXT,Syndicate Bank,GB12EZTQ36557393989258,SWIFT,Z004
9284955550,4000,16-03-2025,21-03-2025,USD,42351.15,Peterson-Lawson,GB72ZVCS14918588026148,AFSFGBYW,HDFC Bank,GB38BHSV85689257440935,NEFT,Z003
2781794548,2000,03-03-2025,27-03-2025,JPY,27564.89,"Hernandez, Brown and Dean",GB46NYVB73554187625321,YLOOGB6AD7D,Syndicate Bank,GB13AFHQ48351957605999,ACH,Z001
1437412845,4000,17-02-2025,21-03-2025,JPY,25767.62,Mckee-Ballard,GB23ZJVR48189705152145,PGBVGBCU9AU,ICICI Bank,GB15IBBA75937360409934,RTGS,Z003
4548438956,1000,22-02-2025,27-03-2025,INR,29147.26,Green-Miller,GB38PYNP97233310037729,HJMXGB0ZW74,HDFC Bank,GB12ZIWN86991842013015,ACH,Z004
9136710305,3000,22-02-2025,19-03-2025,EUR,45479.56,Moreno-Martinez,GB41DZXA14211643080328,KWIMGBZZ4A2,Syndicate Bank,GB63FHJE68037522629496,ACH,Z003
4730450126,4000,09-03-2025,20-03-2025,INR,36883.99,Middleton Group,GB59FEDH31917785112593,DNIJGB99X9Z,HDFC Bank,GB21PTEF34321321018962,Wire Transfer,Z002
5272041859,1000,21-02-2025,21-03-2025,USD,20934.84,Lawson-Hall,GB44MAXV27249352511213,TJRBGBQL,Syndicate Bank,GB27GSCI89483068451146,RTGS,Z003
8482079259,1000,24-02-2025,19-03-2025,JPY,24705.23,Ramirez-Cox,GB27TPCZ57962525807822,ZTJPGBRT8C4,HDFC Bank,GB70EGVE15199492391224,RTGS,Z004
1829683708,3000,11-03-2025,25-03-2025,GBP,31800.64,Fields-Wilson,GB96PSOX87940966539362,BBUPGB0F,Syndicate Bank,GB09JVBA38137621227365,ACH,Z002
3704899807,1000,14-03-2025,24-03-2025,EUR,3049.05,"Huerta, Herring and Hodge",GB18UBNS89860675664947,HZPCGB0P,HDFC Bank,GB91CXCX30052244388760,NEFT,Z003
3390979421,2000,24-02-2025,19-03-2025,EUR,11336.16,Warner-Lewis,GB79BIHJ78408206115923,LEVRGB9UBFJ,Syndicate Bank,GB84UYML92438661369231,NEFT,Z004
3143892504,2000,25-02-2025,22-03-2025,USD,20298.51,David-Morrison,GB28DQIW04520484239635,SMRAGBJZ,HDFC Bank,GB18UHVM16644269966909,SWIFT,Z001
5548014592,4000,22-02-2025,24-03-2025,USD,48234.68,Foster LLC,GB04ZENZ98842551844052,UVKFGBYCEJV,ICICI Bank,GB58GHSJ54427426567700,NEFT,Z001
8036256376,1000,22-02-2025,24-03-2025,EUR,35961.24,"Willis, Hunt and Watson",GB95RHVU39401768227577,RWJJGBELOTR,Syndicate Bank,GB05AAWJ56372452554045,RTGS,Z003
8366813089,1000,20-02-2025,22-03-2025,EUR,40909.97,"Underwood, Beck and Arroyo",GB77VVZO63727107387681,TIVBGBJMSQ0,HDFC Bank,GB47QVDZ69923651060031,SWIFT,Z004
3119892662,1000,21-02-2025,25-03-2025,JPY,27165.02,James-Kim,GB85GDGY27820080078200,JEFHGBFF,ICICI Bank,GB94CFTG64177522274267,SWIFT,Z003
1567550234,2000,20-02-2025,28-03-2025,USD,19700.65,Hunt-Evans,GB10RQES12856171119430,AQTUGBH9,Syndicate Bank,GB95OAUM81630037129340,NEFT,Z004
4308165937,2000,09-03-2025,23-03-2025,INR,25483.25,"Bender, Wright and Ramsey",GB74NETS39586107826666,CJOAGBQQ81Q,Syndicate Bank,GB34BWKM38839581152600,NEFT,Z003
1898054317,4000,02-03-2025,28-03-2025,JPY,21744.79,Miller Group,GB32LAOK50013987766503,IOQUGB6P,Syndicate Bank,GB93GMAA60970281669286,RTGS,Z002
7062599713,4000,27-02-2025,21-03-2025,GBP,30949.82,Jackson-Rojas,GB89LIFA64729169150146,VTQNGB14YR6,ICICI Bank,GB35LCMN34289579763721,SWIFT,Z001
3260618415,1000,18-03-2025,26-03-2025,USD,14938.27,Zimmerman LLC,GB85JVBC54105600879168,THIIGB7F92Q,ICICI Bank,GB32ZBMQ81856269801029,SWIFT,Z003
2232670811,1000,24-02-2025,23-03-2025,EUR,5681.89,Davis Ltd,GB50LKGV00330466454286,YNXZGBXU,HDFC Bank,GB58NSVQ95355343108027,Wire Transfer,Z002
8400585384,3000,08-03-2025,21-03-2025,GBP,27701.83,Wang-Young,GB30FLNE40290377782563,EGTDGBL31ZQ,HDFC Bank,GB73IRJT16205662370454,NEFT,Z002
7601407919,4000,13-03-2025,19-03-2025,GBP,13244.33,Hahn-Brown,GB48TAND12134808062038,ZDGAGB66EIW,ICICI Bank,GB28FQOY36126486058984,RTGS,Z001
1656637618,4000,17-03-2025,24-03-2025,USD,30502.71,Carson-Sandoval,GB45NTOQ76369349545321,ODLZGBGIUN6,HDFC Bank,GB17VLAI95620331734769,RTGS,Z003
1346620168,1000,16-03-2025,22-03-2025,JPY,17150.08,Hughes PLC,GB85GVQR59878795014575,LNIRGBLH,Syndicate Bank,GB40VXTM44153649151882,Wire Transfer,Z003
3982404922,3000,11-03-2025,22-03-2025,EUR,22238.67,Hicks Group,GB22HVSG53044158812439,UBUDGB7O,ICICI Bank,GB11KEAZ71294720196020,Wire Transfer,Z003
3108650946,4000,17-03-2025,27-03-2025,JPY,12536.48,Horn Inc,GB41BMUR98165026362077,YMJYGBMY,ICICI Bank,GB55PDVA99792976461216,NEFT,Z002
4063642010,1000,28-02-2025,20-03-2025,GBP,10016.36,"Nichols, Hill and Chan",GB60SQAR70622895212033,JZERGBX0DVC,HDFC Bank,GB57VGQL62798818604048,ACH,Z001
3882570439,2000,22-02-2025,21-03-2025,EUR,20726.1,"Collins, Walker and Paul",GB77BKPK40177814158913,ZJHPGBGL,ICICI Bank,GB24ZXCQ94007689656079,RTGS,Z002
7513579922,1000,06-03-2025,19-03-2025,INR,43794.38,Chen-Santiago,GB51ORUS01276957790349,YBFTGB7J,HDFC Bank,GB03ZMFM58205853174160,NEFT,Z004
1158437260,3000,21-02-2025,20-03-2025,GBP,27440.02,"Crawford, Lynch and Powers",GB09JBXJ63384177544603,HFSVGBVZ,ICICI Bank,GB22VXBP94953918019976,RTGS,Z003
2032790828,4000,18-02-2025,20-03-2025,INR,46774.89,Bennett LLC,GB51RRWG59025185483925,OMKZGBFT1PJ,HDFC Bank,GB36PXJW39067619379663,RTGS,Z004
